"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020071401004",2020-07-14,2020-08-12,"Hong Kong","819:HK",18.76,"closed",17.34,NA,-0.0756929637526653,2020-08-13
"G2020071402001",2020-07-14,2020-08-12,"Germany","CLIQ:GR",9.9,"closed",NA,NA,NA,2020-08-13
"G2020071501001",2020-07-15,2020-08-13,"Hong Kong","1806:HK",3.24,"closed",3.1,NA,-0.04320987654321,2020-08-14
"G2020071501002",2020-07-15,2020-08-13,"Hong Kong","317:HK",10.18,"closed",NA,NA,NA,2020-08-14
"G2020071501003",2020-07-15,2020-08-13,"Hong Kong","6178:HK",10.34,"closed",NA,NA,NA,2020-08-14
"G2020071501004",2020-07-15,2020-08-13,"Hong Kong","819:HK",19.84,"closed",NA,NA,NA,2020-08-14
"G2020071502001",2020-07-15,2020-08-13,"Germany","CLIQ:GR",10.1,"closed",9.5,NA,-0.0594059405940593,2020-08-14
"G2020071601001",2020-07-16,2020-08-14,"Hong Kong","317:HK",9.3,"closed",NA,NA,NA,2020-08-15
"G2020071601002",2020-07-16,2020-08-14,"Hong Kong","6178:HK",9.73,"closed",NA,NA,NA,2020-08-15
"G2020071601003",2020-07-16,2020-08-14,"Hong Kong","819:HK",17.94,"closed",NA,NA,NA,2020-08-15
"G2020071701001",2020-07-17,2020-08-17,"Hong Kong","317:HK",9.28,"closed",9.82,NA,0.0581896551724139,2020-08-19
"G2020071701002",2020-07-17,2020-08-17,"Hong Kong","6178:HK",8.26,"closed",8.61,NA,0.0423728813559321,2020-08-19
"G2020071701003",2020-07-17,2020-08-17,"Hong Kong","819:HK",17.8,"closed",16.24,NA,-0.0876404494382024,2020-08-19
"G2020072001001",2020-07-20,2020-08-18,"Hong Kong","1336:HK",33.55,"closed",NA,NA,NA,2020-08-19
"G2020072001002",2020-07-20,2020-08-18,"Hong Kong","317:HK",10.12,"closed",9.7,NA,-0.041501976284585,2020-08-19
"G2020072001003",2020-07-20,2020-08-18,"Hong Kong","6178:HK",8.81,"closed",8.47,NA,-0.0385925085130533,2020-08-19
"G2020072001004",2020-07-20,2020-08-18,"Hong Kong","819:HK",17.42,"closed",17.48,NA,0.00344431687715252,2020-08-19
